[0121/102728.228:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/102734.187:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/105141.084:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/105509.451:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/110151.421:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/110755.406:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/112232.380:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/113250.694:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/113307.535:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/113533.155:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/121813.043:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/122134.502:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/123309.194:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/123452.641:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/123629.230:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/130507.704:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/130517.821:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/144922.300:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/144940.299:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/151611.403:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/151630.965:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/153933.115:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/154013.860:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/154019.747:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/154030.138:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/154032.512:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/154327.394:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/154340.910:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/161830.912:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/161834.878:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/161849.689:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/161917.542:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0121/162757.044:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
